Ciudad,Fecha,Temperatura
Bogotá,01/01/2024,14.5
Bogotá,02/01/2024,15.0
Bogotá,03/01/2024,13.8
Bogotá,04/01/2024,14.2
Bogotá,05/01/2024,13.7
Bogotá,06/01/2024,13.5
Bogotá,07/01/2024,14.0
Bogotá,08/01/2024,14.8
Bogotá,09/01/2024,15.1
Bogotá,10/01/2024,14.9
Medellín,01/01/2024,22.3
Medellín,02/01/2024,22.1
Medellín,03/01/2024,21.9
Medellín,04/01/2024,22.5
Medellín,05/01/2024,21.7
Medellín,06/01/2024,21.4
Medellín,07/01/2024,22.0
Medellín,08/01/2024,22.2
Medellín,09/01/2024,22.6
Medellín,10/01/2024,21.8
Cali,01/01/2024,25.4
Cali,02/01/2024,26.0
Cali,03/01/2024,25.8
Cali,04/01/2024,26.2
Cali,05/01/2024,25.6
Cali,06/01/2024,25.9
Cali,07/01/2024,26.1
Cali,08/01/2024,25.7
Cali,09/01/2024,26.3
Cali,10/01/2024,26.0
Cartagena,01/01/2024,28.5
Cartagena,02/01/2024,29.1
Cartagena,03/01/2024,28.9
Cartagena,04/01/2024,29.2
Cartagena,05/01/2024,28.7
Cartagena,06/01/2024,28.4
Cartagena,07/01/2024,29.0
Cartagena,08/01/2024,28.6
Cartagena,09/01/2024,29.3
Cartagena,10/01/2024,29.1
Barranquilla,01/01/2024,27.9
Barranquilla,02/01/2024,28.3
Barranquilla,03/01/2024,28.0
Barranquilla,04/01/2024,28.2
Barranquilla,05/01/2024,27.8
Barranquilla,06/01/2024,28.1
Barranquilla,07/01/2024,28.5
Barranquilla,08/01/2024,27.7
Barranquilla,09/01/2024,28.4
Barranquilla,10/01/2024,28.2
